Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000127955,GNAI1,0.0014687601748918555,-5.406034506828604,5.951444604004926e-47,0.06778383816969877,5.406034506828604,5.951444604004926e-47
ENSG00000232667,AC004862.1,0.0,-2.2294457751052814,0.2119020660796039,0.0004696339826999915,2.2294457751052814,0.2119020660796039
ENSG00000135218,CD36,0.007210277222196382,-3.6205135702261035,2.4175548731940717e-20,0.09016972467839837,3.6205135702261035,2.4175548731940717e-20
ENSG00000075223,SEMA3C,0.04032414298339458,0.5218751120379963,0.131949497990027,0.028021494301099494,-0.5218751120379963,0.131949497990027
ENSG00000019991,HGF,0.00013352365226289596,-5.358728792050247,1.0938932988185674e-13,0.010801581602099805,5.358728792050247,1.0938932988185674e-13
ENSG00000153956,CACNA2D1,0.0014687601748918555,-3.621763197884041,2.2875241282206703e-17,0.019568082612499645,3.621763197884041,2.2875241282206703e-17
ENSG00000186472,PCLO,0.0009346655658402718,-5.004232834706454,6.86763643248475e-32,0.034126736076199385,5.004232834706454,6.86763643248475e-32
ENSG00000170381,SEMA3E,0.0024034257407321274,-1.1909716272906437,0.029885503245645345,0.005635607792399898,1.1909716272906437,0.029885503245645317
ENSG00000075213,SEMA3A,0.009747226615191406,-2.674628438004298,5.724036919853019e-19,0.06293095368179887,2.674628438004298,5.724036919853019e-19
ENSG00000235139,AC003984.1,0.0,-2.2294457751052814,0.3306256623844599,0.0004696339826999915,2.2294457751052814,0.3306256623844601
ENSG00000153993,SEMA3D,0.009079608353876925,-3.519665010265304,1.2376871842917754e-32,0.10551110144659809,3.519665010265304,1.2376871842917754e-32
ENSG00000225128,LINC00972,0.00013352365226289596,-4.814408275826437,7.149806737632364e-11,0.007357599062299867,4.814408275826437,7.149806737632364e-11
ENSG00000198822,GRM3,0.0028039966975208154,1.422630921474413,0.1111340021449977,0.000939267965399983,-1.422630921474413,0.1111340021449977
ENSG00000233073,AC005009.2,0.0,-1.2294457751052814,0.6291817408357153,0.00015654466089999716,1.2294457751052814,0.6291817408357153
ENSG00000164659,KIAA1324L,0.012017128703660637,0.01156232439851479,1.0,0.011897394228399784,-0.01156232439851479,1.0
ENSG00000261462,AC004023.1,0.0,-1.2294457751052814,0.6291817408357153,0.00015654466089999716,1.2294457751052814,0.6291817408357153
ENSG00000224046,AC005076.1,0.005073898785990047,-0.5587534003582402,0.31961319308240776,0.007514143723199864,0.5587534003582402,0.31961319308240776
ENSG00000135164,DMTF1,0.03351443671798689,-0.09136963970230827,0.8641526702967997,0.03569218268519935,0.09136963970230827,0.8641526702967997
ENSG00000135185,TMEM243,0.07504029257174753,-0.5457252970356734,0.05730308417946707,0.10958126262999801,0.5457252970356734,0.05730308417946697
ENSG00000182165,TP53TG1,0.09667112423833668,1.8630004736593153,1.7529119975214362e-11,0.02645604769209952,-1.8630004736593153,1.7529119975214424e-11
ENSG00000005469,CROT,0.028974632541048425,0.3003338103465669,0.4628310228872192,0.023481699134999576,-0.3003338103465669,0.4628310228872192
ENSG00000005471,ABCB4,0.00013352365226289596,-2.036800697162885,0.1390590461342454,0.000939267965399983,2.036800697162885,0.1390590461342454
ENSG00000085563,ABCB1,0.0068097062654076945,2.886031442314655,1.7808946707434805e-06,0.0007827233044999858,-2.886031442314655,1.7808946707434805e-06
ENSG00000105784,RUNDC3B,0.0012017128703660637,-1.2294457751052796,0.09055307440021629,0.002974348557099946,1.2294457751052796,0.09055307440021626
ENSG00000075303,SLC25A40,0.056614028559467885,0.8014335377786921,0.006754308826694923,0.032404744806299415,-0.8014335377786921,0.006754308826694923
ENSG00000006634,DBF4,0.19387634308572493,0.14480264972213464,0.6974755290336978,0.17533002020799682,-0.14480264972213464,0.6974755290336978
ENSG00000008277,ADAM22,0.008011419135773757,0.27502680775550825,0.6656746922454468,0.006574875757799881,-0.27502680775550825,0.6656746922454468
ENSG00000075142,SRI,0.5503844946276572,0.8890087806332874,0.0005063334076366252,0.2971217663881946,-0.8890087806332874,0.0005063334076366252
ENSG00000254003,AC003991.2,0.00013352365226289596,-0.8144082758264375,0.7583051333972062,0.0003130893217999943,0.8144082758264375,0.7583051333972062
ENSG00000127954,STEAP4,0.0017358074794176475,2.577909146952324,0.014213904125072528,0.00015654466089999716,-2.577909146952324,0.014213904125072516
ENSG00000238358,AC004969.1,0.0002670473045257919,-0.2294457751052814,1.0,0.0003130893217999943,0.2294457751052814,1.0
ENSG00000164647,STEAP1,0.22058107353830414,3.6540703121294293,3.1060585817572535e-37,0.017376457359899684,-3.6540703121294293,3.1060585817572535e-37
ENSG00000157214,STEAP2,0.1028132122424299,3.3611412748097544,2.7867458087345736e-28,0.00986231363669982,-3.3611412748097544,2.7867458087345736e-28
ENSG00000105792,CFAP69,0.003071044002046607,-0.5513738699926432,0.4106094528967092,0.004539795166099918,0.5513738699926432,0.4106094528967088
