"","x"
"709","NCC24"
"710","SNU719"
"711","SNU719"
"712","NCC24"
"713","SNU719"
"714","NCC24"
"715","SNU719"
"716","SNU719"
"717","SNU719"
"718","SNU719"
"719","NCC24"
"720","SNU719"
"721","NCC24"
"722","SNU719"
"723","SNU719"
"724","SNU719"
"725","SNU719"
"726","SNU719"
"727","NCC24"
"728","SNU719"
"729","SNU719"
"730","NCC24"
"731","NCC24"
"732","NCC24"
"733","SNU719"
"734","SNU719"
"735","SNU719"
"736","NCC24"
"737","SNU719"
"738","NCC24"
"739","SNU719"
"740","SNU719"
"741","SNU719"
"742","NCC24"
"743","NCC24"
"744","SNU719"
"745","NCC24"
"746","SNU719"
"747","NCC24"
"748","SNU719"
"749","SNU719"
"750","SNU719"
"751","NCC24"
"752","SNU719"
"753","SNU719"
"754","SNU719"
"755","SNU719"
"756","SNU719"
"757","SNU719"
"758","SNU719"
"759","SNU719"
"760","SNU719"
"761","NCC24"
"762","SNU719"
"763","NCC24"
"764","NCC24"
"765","SNU719"
"766","SNU719"
"767","NCC24"
"768","SNU719"
"769","NCC24"
"770","SNU719"
"771","NCC24"
"772","NCC24"
"773","NCC24"
"774","SNU719"
"775","NCC24"
"776","SNU719"
"777","SNU719"
"778","SNU719"
"779","SNU719"
"780","SNU719"
"781","SNU719"
"782","SNU719"
"783","NCC24"
"784","SNU719"
"785","SNU719"
"786","SNU719"
"787","SNU719"
"788","SNU719"
"789","SNU719"
"790","SNU719"
"791","SNU719"
"792","SNU719"
"793","SNU719"
"794","SNU719"
"795","SNU719"
"796","NCC24"
"797","SNU719"
"798","NCC24"
"799","SNU719"
"800","SNU719"
"801","SNU719"
"802","SNU719"
"803","SNU719"
"804","SNU719"
"805","SNU719"
"806","SNU719"
"807","SNU719"
"808","NCC24"
"809","SNU719"
"810","SNU719"
"811","SNU719"
"812","SNU719"
"813","SNU719"
"814","SNU719"
"815","NCC24"
"816","SNU719"
"817","SNU719"
"818","SNU719"
"819","NCC24"
"820","SNU719"
"821","SNU719"
"822","SNU719"
"823","SNU719"
"824","SNU719"
"825","NCC24"
"826","NCC24"
"827","SNU719"
"828","NCC24"
"829","NCC24"
"830","SNU719"
"831","SNU719"
"832","SNU719"
"833","SNU719"
"834","SNU719"
"835","NCC24"
"836","SNU719"
"837","SNU719"
"838","SNU719"
"839","SNU719"
"840","SNU719"
"841","SNU719"
"842","NCC24"
"843","SNU719"
"844","NCC24"
"845","NCC24"
"846","SNU719"
"847","SNU719"
"848","SNU719"
"849","NCC24"
"850","SNU719"
"851","SNU719"
"852","NCC24"
"853","NCC24"
"854","SNU719"
"855","NCC24"
"856","SNU719"
"857","NCC24"
"858","SNU719"
"859","SNU719"
"860","SNU719"
"861","NCC24"
"862","NCC24"
"863","SNU719"
"864","SNU719"
"865","NCC24"
"866","NCC24"
"867","SNU719"
"868","SNU719"
"869","SNU719"
"870","SNU719"
"871","SNU719"
"872","NCC24"
"873","NCC24"
"874","NCC24"
"875","SNU719"
"876","SNU719"
"877","SNU719"
"878","SNU719"
"879","NCC24"
"880","SNU719"
"881","NCC24"
"882","SNU719"
"883","NCC24"
"884","NCC24"
"885","NCC24"
"886","SNU719"
"887","SNU719"
"888","SNU719"
"889","SNU719"
"890","NCC24"
"891","NCC24"
"892","SNU719"
"893","SNU719"
"894","SNU719"
"895","SNU719"
"896","SNU719"
"897","SNU719"
"898","NCC24"
"899","SNU719"
"900","SNU719"
"901","SNU719"
"902","SNU719"
"903","SNU719"
"904","NCC24"
"905","SNU719"
"906","SNU719"
"907","SNU719"
"908","SNU719"
"909","SNU719"
"910","SNU719"
"911","SNU719"
"912","SNU719"
"913","SNU719"
"914","NCC24"
"915","SNU719"
"916","NCC24"
"917","SNU719"
"918","NCC24"
"919","SNU719"
"920","SNU719"
"921","SNU719"
"922","NCC24"
"923","SNU719"
"924","SNU719"
"925","SNU719"
"926","NCC24"
"927","SNU719"
"928","NCC24"
"929","SNU719"
"930","SNU719"
"931","SNU719"
"932","SNU719"
"933","SNU719"
"934","SNU719"
"935","SNU719"
"936","SNU719"
"937","SNU719"
"938","NCC24"
"939","NCC24"
"940","SNU719"
"941","SNU719"
"942","SNU719"
"943","SNU719"
"944","NCC24"
"945","SNU719"
"946","SNU719"
"947","SNU719"
"948","SNU719"
"949","SNU719"
"950","SNU719"
"951","SNU719"
"952","NCC24"
"953","SNU719"
"954","SNU719"
"955","SNU719"
"956","SNU719"
"957","NCC24"
"958","SNU719"
"959","SNU719"
"960","SNU719"
"961","SNU719"
"962","SNU719"
"963","NCC24"
"964","NCC24"
"965","NCC24"
"966","SNU719"
"967","SNU719"
"968","NCC24"
"969","SNU719"
"970","SNU719"
"971","NCC24"
"972","SNU719"
"973","SNU719"
"974","SNU719"
"975","SNU719"
"976","NCC24"
"977","NCC24"
"978","SNU719"
"979","SNU719"
"980","SNU719"
"981","NCC24"
"982","SNU719"
"983","SNU719"
"984","NCC24"
"985","SNU719"
"986","SNU719"
"987","SNU719"
"988","SNU719"
"989","SNU719"
"990","SNU719"
"991","SNU719"
"992","NCC24"
"993","SNU719"
"994","SNU719"
"995","SNU719"
"996","SNU719"
"997","SNU719"
"998","NCC24"
"999","SNU719"
"1000","NCC24"
"1001","SNU719"
"1002","SNU719"
"1003","SNU719"
"1004","NCC24"
"1005","SNU719"
"1006","SNU719"
"1007","SNU719"
"1008","SNU719"
"1009","SNU719"
"1010","SNU719"
"1011","SNU719"
"1012","SNU719"
"1013","SNU719"
"1014","SNU719"
"1015","NCC24"
"1016","NCC24"
"1017","NCC24"
"1018","SNU719"
"1019","SNU719"
"1020","NCC24"
