Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000100065,CARD10,0.017343421301662533,0.8991494714194985,0.05502875510876341,0.009201206235744813,-0.8991494714194985,0.05502875510876341
ENSG00000128283,CDC42EP1,0.07721951865264033,0.2844309035511299,0.5202705264655573,0.06336285203251542,-0.2844309035511299,0.5202705264655567
ENSG00000100079,LGALS2,0.0037164474217848287,3.2295391450550577,0.002390557845818841,0.0002091183235396548,-3.2295391450550577,0.002390557845818841
ENSG00000100083,GGA1,0.03344802679606346,0.3761434754556747,0.4303994459802521,0.025721553795377543,-0.3761434754556747,0.4303994459802521
ENSG00000100092,SH3BP1,0.030350987277909434,1.463144542677223,0.0001370515651597394,0.010874152824062051,-1.463144542677223,0.0001370515651597394
ENSG00000285304,Z83844.3,0.00020646930121026824,0.9816116316114716,1.0,0.0,-0.9816116316114716,1.0
ENSG00000233360,Z83844.2,0.00020646930121026824,0.9816116316114716,1.0,0.0,-0.9816116316114716,1.0
ENSG00000241360,PDXP,0.001651754409682146,-0.5489030850873089,0.6532464312747059,0.0025094198824758577,0.5489030850873089,0.6532464312747054
ENSG00000100097,LGALS1,0.6078456227630298,-1.1314141068143675,5.996124724931673e-05,1.3318746026240615,1.1314141068143675,5.996124724931673e-05
ENSG00000273899,NOL12,0.04129386024205365,-0.4758611339877685,0.22368054922941732,0.057507538973405076,0.4758611339877685,0.22368054922941732
ENSG00000100106,TRIOBP,0.11520987007532968,0.8939969836538966,0.005125168146260148,0.06189902376773783,-0.8939969836538966,0.005125168146260148
ENSG00000189060,H1F0,0.23496206477728526,1.5502011625984276,9.964733914723319e-08,0.0800923179156878,-1.5502011625984276,9.964733914723319e-08
ENSG00000100116,GCAT,0.05244320250740814,0.06307573224036833,0.9734618181965045,0.05018839764951716,-0.06307573224036833,0.9734618181965045
